序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
61,S082_1数据缓存,INT[30],,...,保持,公有,放瓶盖工位1二维码数据存放 PC-PLC,R10560,ns=4;s=上位机通讯|S082_1数据缓存
,S082_1数据缓存[0],INT,,0,,,,R10560,ns=4;s=上位机通讯|S082_1数据缓存[0]
,S082_1数据缓存[1],INT,,0,,,,R10561,ns=4;s=上位机通讯|S082_1数据缓存[1]
,S082_1数据缓存[2],INT,,0,,,,R10562,ns=4;s=上位机通讯|S082_1数据缓存[2]
,S082_1数据缓存[3],INT,,0,,,,R10563,ns=4;s=上位机通讯|S082_1数据缓存[3]
,S082_1数据缓存[4],INT,,0,,,,R10564,ns=4;s=上位机通讯|S082_1数据缓存[4]
,S082_1数据缓存[5],INT,,0,,,,R10565,ns=4;s=上位机通讯|S082_1数据缓存[5]
,S082_1数据缓存[6],INT,,0,,,,R10566,ns=4;s=上位机通讯|S082_1数据缓存[6]
,S082_1数据缓存[7],INT,,0,,,,R10567,ns=4;s=上位机通讯|S082_1数据缓存[7]
,S082_1数据缓存[8],INT,,0,,,,R10568,ns=4;s=上位机通讯|S082_1数据缓存[8]
,S082_1数据缓存[9],INT,,0,,,,R10569,ns=4;s=上位机通讯|S082_1数据缓存[9]
,S082_1数据缓存[10],INT,,0,,,,R10570,ns=4;s=上位机通讯|S082_1数据缓存[10]
,S082_1数据缓存[11],INT,,0,,,,R10571,ns=4;s=上位机通讯|S082_1数据缓存[11]
,S082_1数据缓存[12],INT,,0,,,,R10572,ns=4;s=上位机通讯|S082_1数据缓存[12]
,S082_1数据缓存[13],INT,,0,,,,R10573,ns=4;s=上位机通讯|S082_1数据缓存[13]
,S082_1数据缓存[14],INT,,0,,,,R10574,ns=4;s=上位机通讯|S082_1数据缓存[14]
